Epoch,Loss,Accuracy
1,3.0728156566619873,0.16249999403953552
2,2.3310863971710205,0.21250000596046448
3,2.628105878829956,0.11249999701976776
4,2.338315963745117,0.15000000596046448
5,2.1536145210266113,0.20000000298023224
6,2.2792701721191406,0.11249999701976776
7,2.140392541885376,0.26249998807907104
8,2.1082825660705566,0.20000000298023224
9,2.3485560417175293,0.15000000596046448
10,2.186750888824463,0.13750000298023224
11,1.989078164100647,0.21250000596046448
12,2.021913766860962,0.20000000298023224
13,2.0535964965820312,0.11249999701976776
14,2.104098081588745,0.15000000596046448
15,2.022362470626831,0.23749999701976776
16,1.9214826822280884,0.20000000298023224
17,1.9402366876602173,0.23749999701976776
18,1.8447235822677612,0.21250000596046448
19,1.8271108865737915,0.2750000059604645
20,1.7591575384140015,0.2874999940395355
21,1.720560908317566,0.23749999701976776
22,1.7441848516464233,0.25
23,1.7072330713272095,0.2750000059604645
24,1.7195030450820923,0.2750000059604645
25,1.7125381231307983,0.2874999940395355
26,1.6575348377227783,0.3125
27,1.6086437702178955,0.4000000059604645
28,1.6132700443267822,0.375
29,1.5911095142364502,0.3375000059604645
30,1.61156165599823,0.32499998807907104
31,1.5714553594589233,0.38749998807907104
32,1.5751370191574097,0.3499999940395355
33,1.575783133506775,0.4124999940395355
34,1.5752851963043213,0.42500001192092896
35,1.5144699811935425,0.4124999940395355
36,1.5465006828308105,0.4124999940395355
37,1.4911164045333862,0.44999998807907104
38,1.4580527544021606,0.4749999940395355
39,1.4269131422042847,0.4375
40,1.3396351337432861,0.512499988079071
41,1.3609455823898315,0.4625000059604645
42,1.3549269437789917,0.5249999761581421
43,1.3027788400650024,0.574999988079071
44,1.209394097328186,0.550000011920929
45,1.211098074913025,0.6000000238418579
46,1.1753184795379639,0.6000000238418579
47,1.1359026432037354,0.612500011920929
48,1.1592215299606323,0.6000000238418579
49,1.1000394821166992,0.6000000238418579
50,1.1287263631820679,0.6000000238418579
51,1.088452935218811,0.675000011920929
52,1.0416338443756104,0.6499999761581421
53,0.9590951800346375,0.6625000238418579
54,0.9330466389656067,0.7250000238418579
55,0.938665509223938,0.7124999761581421
56,0.8585687875747681,0.675000011920929
57,0.7560397982597351,0.7875000238418579
58,0.8524206280708313,0.6625000238418579
59,0.7574689984321594,0.6875
60,0.743994414806366,0.737500011920929
61,0.7701611518859863,0.762499988079071
62,0.7264963984489441,0.7749999761581421
63,0.5946769714355469,0.75
64,0.7202350497245789,0.7749999761581421
65,0.5838317275047302,0.8125
66,0.5656733512878418,0.8500000238418579
67,0.5366940498352051,0.8125
68,0.5463042259216309,0.8125
69,0.4870170056819916,0.800000011920929
70,0.4743686318397522,0.887499988079071
71,0.4712485373020172,0.875
72,0.36571112275123596,0.887499988079071
73,0.464212566614151,0.862500011920929
74,0.3453216552734375,0.887499988079071
75,0.4474337697029114,0.824999988079071
76,0.4592152535915375,0.8500000238418579
77,0.4144017696380615,0.862500011920929
78,0.37209847569465637,0.8999999761581421
79,0.4011573791503906,0.8999999761581421
80,0.3814271092414856,0.875
81,0.33902937173843384,0.9375
82,0.29049089550971985,0.9375
83,0.32976624369621277,0.887499988079071
84,0.3283711075782776,0.9125000238418579
85,0.27783575654029846,0.949999988079071
86,0.24142800271511078,0.925000011920929
87,0.2764720320701599,0.925000011920929
88,0.24860472977161407,0.8999999761581421
89,0.20602324604988098,0.9375
90,0.202117919921875,0.949999988079071
91,0.16209544241428375,0.9624999761581421
92,0.17838461697101593,0.9375
93,0.16853632032871246,0.9624999761581421
94,0.18316833674907684,0.9624999761581421
95,0.11741665750741959,0.987500011920929
96,0.12530452013015747,0.9750000238418579
97,0.12703347206115723,0.949999988079071
98,0.12572330236434937,0.9750000238418579
99,0.10067909955978394,0.9624999761581421
100,0.0912269726395607,0.9750000238418579
